"country","rateUN","rateGHDE","deathsGHDE"
"Bulgaria","15.4000","1791","124226"
"Ukraine","15.2000","1586","698663"
"Latvia","14.6000","1432","27427"
"Lesotho","14.3000","1555","32514"
"Lithuania","13.6000","1378","38501"
"Serbia","13.2000","1345","117629"
"Croatia","13.1000","1231","52311"
"Romania","13","1366","262811"
"Georgia","12.8000","1348","49418"
"Russia","12.7000","1219","1788286"
"Belarus","12.6000","1282","121777"
"Hungary","12.5000","1332","128868"
"Central African Republic","12.4000","1278","67755"
"Chad","12.2000","955","156649"
"Nigeria","12","742","1593180"
"Sierra Leone","11.9000","846","70114"
"Moldova","11.6000","1112","40998"
"Estonia","11.6000","1211","15889"
"Germany","11.2000","1130","959889"
"Somalia","10.9000","906","184231"
"Greece","10.8000","1245","128669"
"Montenegro","10.7000","1095","6794"
"South Sudan","10.6000","784","72739"
"Portugal","10.6000","1093","116387"
"Bosnia and Herzegovina","10.6000","1134","37424"
"Italy","10.5000","1065","642342"
"Czech Republic","10.5000","1069","113803"
"Japan","10.4000","1096","1400013"
"Ivory Coast","10.2000","697","182433"
"Poland","10.1000","1057","406277"
"North Macedonia","10","1117","24047"
"Austria","9.9000","925","82490"
"Slovakia","9.9000","1003","54549"
"Armenia","9.9000","927","27978"
"Slovenia","9.9000","1003","20813"
"Mali","9.8000","919","201433"
"Belgium","9.8000","999","114074"
"Denmark","9.7000","954","55374"
"Finland","9.7000","1014","56113"
"Guinea-Bissau","9.7000","779","14816"
"DR Congo","9.6000","643","564091"
"South Africa","9.5000","939","521802"
"Uruguay","9.5000","985","33847"
"Grenada","9.5000","877","819"
"United Kingdom","9.4000","925","621815"
"Cameroon","9.4000","712","207271"
"Equatorial Guinea","9.4000","537","7618"
"Eswatini","9.4000","1013","11566"
"France","9.3000","911","603278"
"Puerto Rico","9.3000","934","32906"
"Sweden","9.2000","918","93801"
"Saint Vincent and the Grenadines","9.2000","907","1026"
"North Korea","9.1000","904","237057"
"Spain","9","931","428577"
"Benin","9","735","93065"
"Barbados","9","1039","3093"
"Cuba","8.9000","933","105984"
"United States","8.7000","898","2946456"
"Netherlands","8.7000","915","157008"
"Mozambique","8.6000","897","264784"
"Haiti","8.6000","804","99708"
"Togo","8.6000","676","53555"
"Guinea","8.5000","904","114265"
"United States Virgin Islands","8.5000","1230","1279"
"Niger","8.4000","870","202621"
"Angola","8.3000","614","184934"
"Burkina Faso","8.3000","889","201814"
"Trinidad and Tobago","8.3000","848","11765"
"Mauritius","8.3000","839","10713"
"Myanmar","8.2000","770","420932"
"Namibia","8.2000","787","18907"
"Malta","8.2000","861","3780"
"Zimbabwe","8.1000","843","126523"
"Fiji","8.1000","814","7419"
"Ghana","8","660","208182"
"Burundi","8","699","83466"
"Switzerland","8","796","69817"
"Norway","8","774","41386"
"Gambia","8","601","13505"
"Albania","7.8000","833","22671"
"Seychelles","7.8000","781","797"
"Canada","7.7000","789","288193"
"Thailand","7.6000","710","497502"
"Argentina","7.6000","773","348823"
"Liberia","7.6000","621","29750"
"Jamaica","7.6000","699","19658"
"Taiwan","7.5000","785","185365"
"Papua New Guinea","7.5000","707","69785"
"Guyana","7.4000","867","6684"
"Mauritania","7.3000","523","20981"
"Comoros","7.3000","701","5007"
"Suriname","7.3000","759","4371"
"India","7.2000","675","9391549"
"Sudan","7.2000","495","202165"
"Eritrea","7.2000","647","43395"
"Tonga","7.2000","643","658"
"China","7.1000","749","10653448"
"Kazakhstan","7.1000","758","139467"
"Djibouti","7.1000","630","7575"
"Luxembourg","7.1000","670","4147"
"Saint Lucia","7.1000","805","1406"
"Pakistan","7","669","1499878"
"Venezuela","7","666","186929"
"Turkmenistan","7","661","33620"
"El Salvador","7","643","40199"
"New Zealand","7","767","34498"
"Cyprus","7","663","8707"
"Gabon","6.9000","672","11767"
"Malawi","6.8000","633","116671"
"Bolivia","6.8000","632","75910"
"Azerbaijan","6.8000","731","75129"
"Republic of the Congo","6.8000","678","35713"
"Ethiopia","6.7000","520","559997"
"Uganda","6.7000","590","242799"
"Bahamas","6.7000","725","2731"
"Iceland","6.7000","613","2113"
"Australia","6.6000","695","170852"
"Sri Lanka","6.6000","621","135633"
"Zambia","6.6000","676","123355"
"Micronesia","6.6000","524","939"
"Tanzania","6.5000","625","354351"
"Afghanistan","6.5000","657","251418"
"Laos","6.5000","621","44457"
"Indonesia","6.4000","657","1705895"
"Brazil","6.4000","651","1411016"
"Nepal","6.4000","636","193331"
"Vietnam","6.3000","656","631818"
"Tunisia","6.3000","584","67618"
"Mongolia","6.3000","734","24859"
"Bhutan","6.3000","564","4252"
"Kiribati","6.3000","970","1151"
"Antigua and Barbuda","6.3000","689","610"
"Madagascar","6.1000","615","164161"
"Chile","6.1000","621","113086"
"Dominican Republic","6.1000","648","70545"
"Kyrgyzstan","6.1000","531","34676"
"Mexico","6","591","738425"
"Yemen","6","554","174542"
"Cambodia","6","668","110851"
"Ireland","6","659","32354"
"Timor-Leste","6","581","7756"
"South Korea","5.9000","597","318631"
"Philippines","5.8000","570","638801"
"Egypt","5.8000","567","561556"
"Uzbekistan","5.8000","605","203599"
"Senegal","5.8000","594","89909"
"Botswana","5.8000","905","21172"
"Cape Verde","5.6000","621","3501"
"Bangladesh","5.5000","533","849561"
"Kenya","5.5000","585","293888"
"Colombia","5.5000","516","246679"
"Peru","5.5000","448","152433"
"Syria","5.5000","583","84425"
"Paraguay","5.5000","493","34171"
"Turkey","5.4000","559","454742"
"Rwanda","5.3000","540","68571"
"Israel","5.3000","515","47925"
"Vanuatu","5.3000","759","2237"
"Samoa","5.2000","647","1367"
"Guam","5.2000","661","1128"
"Morocco","5.1000","635","228124"
"Malaysia","5.1000","562","175876"
"Ecuador","5.1000","526","92531"
"Nicaragua","5.1000","448","29196"
"Libya","5.1000","470","31660"
"Panama","5.1000","476","19798"
"Costa Rica","5","518","24416"
"Iran","4.9000","464","391113"
"Tajikistan","4.9000","513","48703"
"Sao Tome and Principe","4.9000","492","1011"
"Iraq","4.8000","426","179615"
"Guatemala","4.8000","533","94821"
"Algeria","4.7000","481","20111"
"Belize","4.7000","485","1990"
"Honduras","4.4000","536","52569"
"Singapore","4.4000","410","23222"
"Lebanon","4.3000","654","33858"
"Solomon Islands","4.3000","949","6221"
"Jordan","3.9000","277","32265"
"Saudi Arabia","3.5000","360","128507"
"Palestine","3.5000","335","16608"
"Maldives","2.8000","301","1502"
"Kuwait","2.7000","226","10013"
"Oman","2.4000","270","12374"
"Bahrain","2.4000","296","4266"
"United Arab Emirates","1.5000","315","29113"
"Qatar","1.2000","154","4421"
"Andorra","","746","620"
"Dominica","","1070","735"
"Bermuda","","905","580"
"Greenland","","855","480"
"Saint Kitts and Nevis","","840","500"
"American Samoa","","445","383"
"Marshall Islands","","743","422"
"Monaco","","1394","524"
"San Marino","","911","302"
"Palau","","1159","209"
"Cook Islands","","920","165"
"Nauru","","633","67"
"Tuvalu","","910","107"
"Niue","","1192","20"
"Tokelau","","787","11"
